,,,,,Stock Count Date : 1 JAN 2026,,Counted by Seven,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Balance at at 30 Nov 2025,,, Balane as at 31 DEC 25 , Physical stock count on 31 DEC 25 ,,,,,,,,,
,,,,,Items,UOM,QTY,Purchase,Sale, QTY , QTY per Physical , Diff , COG , Consumption , Lost , Total COG , Purchase , Remark , Action Required ,
,,Craft Beers,,Redbus,Redbus,Bottle,  17.00 ,12,4,  25 ,  19 ,  (6.00),  5.84 ,,  (8.76),  (14.60),  17.52 ,,,
,,Aperitifs,,RICARD,Richard,Bottle,  1.00 ,1,,  2 ,  2 ,  -   ,  -   ,  -   ,,  -   ,  12.00 ,,,
,,Gin,,Roku Gin,Roku Japanese,Bottle,  4.00 ,0,,  4 ,  3 ,  (1.00),  -   ,  (17.50),,  (17.50),  -   ,Use For blending ,,
New,,#N/A,,RUM Mabooze,RUM Mabooze,,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Shooters,,SAMBUCA,SAMBUCA,Bottle,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,Seekers Gold Gin,Seekers Gold Gin,Bottle,  1.00 ,0,,  1 ,  2 ,  1.00 ,  -   ,  162.86 ,,  162.86 ,  -   ,,,
,,Gin,,Seekers Jason Kong,Seekers Jason Kong,Bottle,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Gin,,Seekers Mekong Dry,Seekers Mekong Dry,Bottle,  1.00 ,0,,  1 ,  2 ,  1.00 ,  -   ,  149.10 ,,  149.10 ,  -   ,,,
,,#N/A,,Seekers Mekong Orange,Seekers Mekong Orange,Bottle,  1.00 ,0,,  1 ,  2 ,  1.00 ,  -   ,  71.45 ,,  71.45 ,  -   ,,,
,,#N/A,,Seekers Mekong Vodka,Seekers Mekong Vodka,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Craft Beers,,Seven Days,Seven Days,Bottle,  25.00 ,0,3,  22 ,  22 ,  -   ,  3.99 ,,  -   ,  (3.99),  -   ,,,
,,Draft & Bottles,,Singha Bottle,Singha Bottle,Bottle,  35.00 ,0,17,  18 ,  15 ,  (3.00),  13.10 ,,  (2.31),  (15.42),  -   ,,,
